code,industry_id,date,last_updated
002170,C020103,2007-09-19 00:00:00.000000,2017-12-15 08:40:47.919811
002171,C020204,2007-09-21 00:00:00.000000,2017-12-15 08:40:47.919811
002172,C020104,2007-09-21 00:00:00.000000,2017-12-15 08:40:47.919811
002182,C020204,2007-11-13 00:00:00.000000,2017-12-15 08:40:47.919811
002192,C020201,2007-12-05 00:00:00.000000,2017-12-15 08:40:47.919811
002201,C020205,2007-12-26 00:00:00.000000,2017-12-15 08:40:47.919811
002203,C020204,2008-01-16 00:00:00.000000,2017-12-15 08:40:47.919811
002206,C020104,2008-01-23 00:00:00.000000,2017-12-15 08:40:47.919811
002211,C020101,2008-02-01 00:00:00.000000,2017-12-15 08:40:47.919811
002215,C020103,2008-02-18 00:00:00.000000,2017-12-15 08:40:47.919811
002217,C020101,2008-02-20 00:00:00.000000,2017-12-15 08:40:47.919811
002224,C020205,2008-04-25 00:00:00.000000,2017-12-15 08:40:47.919811
002225,C020205,2008-04-25 00:00:00.000000,2017-12-15 08:40:47.919811
002226,C020102,2008-05-06 00:00:00.000000,2017-12-15 08:40:47.919811
002228,C020202,2008-05-08 00:00:00.000000,2017-12-15 08:40:47.919811
002233,C020201,2008-05-16 00:00:00.000000,2017-12-15 08:40:47.919811
002235,C020206,2008-05-16 00:00:00.000000,2017-12-15 08:40:47.919811
002237,C020204,2008-05-20 00:00:00.000000,2017-12-15 08:40:47.919811
002240,C020206,2008-05-23 00:00:00.000000,2017-12-15 08:40:47.919811
002243,C020202,2008-05-28 00:00:00.000000,2017-12-15 08:40:47.919811
002246,C020101,2008-06-05 00:00:00.000000,2017-12-15 08:40:47.919811
002250,C020101,2008-06-19 00:00:00.000000,2017-12-15 08:40:47.919811
002254,C020104,2008-06-25 00:00:00.000000,2017-12-15 08:40:47.919811
002256,C020102,2008-06-25 00:00:00.000000,2017-12-15 08:40:47.919811
002258,C020103,2008-07-08 00:00:00.000000,2017-12-15 08:40:47.919811
002259,C020206,2008-07-16 00:00:00.000000,2017-12-15 08:40:47.919811
002263,C020102,2008-07-28 00:00:00.000000,2017-12-15 08:40:47.919811
002271,C020201,2008-09-10 00:00:00.000000,2017-12-15 08:40:47.919811
002274,C020103,2008-09-25 00:00:00.000000,2017-12-15 08:40:47.919811
002290,C020102,2009-09-03 00:00:00.000000,2017-12-15 08:40:47.919811
002295,C020204,2009-09-29 00:00:00.000000,2017-12-15 08:40:47.919811
002297,C020205,2009-09-29 00:00:00.000000,2017-12-15 08:40:47.919811
002302,C020201,2009-11-03 00:00:00.000000,2017-12-15 08:40:47.919811
002303,C020202,2009-11-03 00:00:00.000000,2017-12-15 08:40:47.919811
002318,C020203,2009-12-11 00:00:00.000000,2017-12-15 08:40:47.919811
002319,C020102,2009-12-11 00:00:00.000000,2017-12-15 08:40:47.919811
002324,C020102,2009-12-18 00:00:00.000000,2017-12-15 08:40:47.919811
002326,C020101,2009-12-22 00:00:00.000000,2017-12-15 08:40:47.919811
002333,C020204,2010-01-12 00:00:00.000000,2017-12-15 08:40:47.919811
002340,C020204,2010-01-22 00:00:00.000000,2017-12-15 08:40:47.919811
002341,C020102,2010-01-22 00:00:00.000000,2017-12-15 08:40:47.919811
002343,C020102,2010-01-26 00:00:00.000000,2017-12-15 08:40:47.919811
002352,C020203,2010-02-05 00:00:00.000000,2017-12-15 08:40:47.919811
002354,C020206,2010-02-09 00:00:00.000000,2017-12-15 08:40:47.919811
002360,C020102,2010-03-03 00:00:00.000000,2017-12-15 08:40:47.919811
002361,C020102,2010-03-03 00:00:00.000000,2017-12-15 08:40:47.919811
002374,C020202,2010-03-18 00:00:00.000000,2017-12-15 08:40:47.919811
002377,C020201,2010-03-23 00:00:00.000000,2017-12-15 08:40:47.919811
002378,C020204,2010-03-31 00:00:00.000000,2017-12-15 08:40:47.919811
002379,C020204,2010-03-31 00:00:00.000000,2017-12-15 08:40:47.919811
002381,C020205,2010-04-02 00:00:00.000000,2017-12-15 08:40:47.919811
002386,C020101,2010-04-09 00:00:00.000000,2017-12-15 08:40:47.919811
002391,C020103,2010-04-16 00:00:00.000000,2017-12-15 08:40:47.919811
002392,C020205,2010-04-23 00:00:00.000000,2017-12-15 08:40:47.919811
002395,C020102,2010-04-29 00:00:00.000000,2017-12-15 08:40:47.919811
002398,C020201,2010-05-06 00:00:00.000000,2017-12-15 08:40:47.919811
002407,C020101,2010-05-18 00:00:00.000000,2017-12-15 08:40:47.919811
002408,C020101,2010-05-18 00:00:00.000000,2017-12-15 08:40:47.919811
002409,C020101,2010-05-25 00:00:00.000000,2017-12-15 08:40:47.919811
002411,C020101,2010-05-25 00:00:00.000000,2017-12-15 08:40:47.919811
002427,C020104,2010-06-08 00:00:00.000000,2017-12-15 08:40:47.919811
002428,C020204,2010-06-08 00:00:00.000000,2017-12-15 08:40:47.919811
002440,C020102,2010-07-06 00:00:00.000000,2017-12-15 08:40:47.919811
002442,C020101,2010-07-06 00:00:00.000000,2017-12-15 08:40:47.919811
002443,C020203,2010-07-06 00:00:00.000000,2017-12-15 08:40:47.919811
002445,C020203,2010-07-13 00:00:00.000000,2017-12-15 08:40:47.919811
002450,C020102,2010-07-16 00:00:00.000000,2017-12-15 08:40:47.919811
002453,C020101,2010-07-20 00:00:00.000000,2017-12-15 08:40:47.919811
002455,C020101,2010-08-03 00:00:00.000000,2017-12-15 08:40:47.919811
002460,C020204,2010-08-10 00:00:00.000000,2017-12-15 08:40:47.919811
002464,C020102,2010-08-31 00:00:00.000000,2017-12-15 08:40:47.919811
002466,C020101,2010-08-31 00:00:00.000000,2017-12-15 08:40:47.919811
002470,C020103,2010-09-08 00:00:00.000000,2017-12-15 08:40:47.919811
002476,C020101,2010-09-15 00:00:00.000000,2017-12-15 08:40:47.919811
002478,C020203,2010-09-21 00:00:00.000000,2017-12-15 08:40:47.919811
002493,C020102,2010-11-02 00:00:00.000000,2017-12-15 08:40:47.919811
002496,C020103,2010-11-09 00:00:00.000000,2017-12-15 08:40:47.919811
002497,C020102,2010-11-09 00:00:00.000000,2017-12-15 08:40:47.919811
002501,C020204,2010-11-17 00:00:00.000000,2017-12-15 08:40:47.919811
002513,C020103,2010-12-03 00:00:00.000000,2017-12-15 08:40:47.919811
002521,C020206,2010-12-10 00:00:00.000000,2017-12-15 08:40:47.919811
002522,C020102,2010-12-10 00:00:00.000000,2017-12-15 08:40:47.919811
002538,C020103,2011-01-18 00:00:00.000000,2017-12-15 08:40:47.919811
002539,C020103,2011-01-18 00:00:00.000000,2017-12-15 08:40:47.919811
002540,C020204,2011-01-18 00:00:00.000000,2017-12-15 08:40:47.919811
002549,C020101,2011-02-18 00:00:00.000000,2017-12-15 08:40:47.919811
002562,C020102,2011-03-10 00:00:00.000000,2017-12-15 08:40:47.919811
002565,C020206,2011-03-18 00:00:00.000000,2017-12-15 08:40:47.919811
002581,C020103,2011-05-20 00:00:00.000000,2017-12-15 08:40:47.919811
002584,C020101,2011-06-02 00:00:00.000000,2017-12-15 08:40:47.919811
002585,C020102,2011-06-02 00:00:00.000000,2017-12-15 08:40:47.919811
002588,C020103,2011-06-10 00:00:00.000000,2017-12-15 08:40:47.919811
002591,C020102,2011-06-21 00:00:00.000000,2017-12-15 08:40:47.919811
002596,C020201,2011-07-07 00:00:00.000000,2017-12-15 08:40:47.919811
002597,C020101,2011-07-07 00:00:00.000000,2017-12-15 08:40:47.919811
002601,C020101,2011-07-15 00:00:00.000000,2017-12-15 08:40:47.919811
002624,C020205,2011-10-28 00:00:00.000000,2017-12-15 08:40:47.919811
002631,C020206,2011-11-11 00:00:00.000000,2017-12-15 08:40:47.919811
002632,C020102,2011-11-22 00:00:00.000000,2017-12-15 08:40:47.919811
002637,C020102,2011-11-25 00:00:00.000000,2017-12-15 08:40:47.919811
002641,C020102,2011-12-08 00:00:00.000000,2017-12-15 08:40:47.919811
002643,C020101,2011-12-20 00:00:00.000000,2017-12-15 08:40:47.919811
002648,C020101,2011-12-28 00:00:00.000000,2017-12-15 08:40:47.919811
300019,C020101,2009-10-30 00:00:00.000000,2017-12-15 08:40:47.919811
300037,C020101,2010-01-08 00:00:00.000000,2017-12-15 08:40:47.919811
300041,C020101,2010-01-08 00:00:00.000000,2017-12-15 08:40:47.919811
300054,C020101,2010-02-11 00:00:00.000000,2017-12-15 08:40:47.919811
300056,C020102,2010-02-26 00:00:00.000000,2017-12-15 08:40:47.919811
300057,C020206,2010-02-26 00:00:00.000000,2017-12-15 08:40:47.919811
300063,C020102,2010-03-26 00:00:00.000000,2017-12-15 08:40:47.919811
300064,C020205,2010-03-26 00:00:00.000000,2017-12-15 08:40:47.919811
300067,C020102,2010-04-21 00:00:00.000000,2017-12-15 08:40:47.919811
300072,C020101,2010-04-27 00:00:00.000000,2017-12-15 08:40:47.919811
300073,C020101,2010-04-27 00:00:00.000000,2017-12-15 08:40:47.919811
