基金简称,持仓市值(万元),持仓股数(万股),与上期持仓股数变化(万股),占基金净值比例,占流通股比例
易方达安心回馈混合,818,14.76,新进,1.33%,0.00%
泰达宏利集利债券C,127,2.3,新进,0.08%,0.00%
中融鑫起点混合C,23,0.42,新进,0.04%,0.00%
泰达宏利集利债券A,127,2.3,新进,0.08%,0.00%
中邮乐享收益灵活配置混合,222,4.0,新进,0.31%,0.00%
中银新财富混合A,421,7.59,新进,2.44%,0.00%
中银新财富混合C,421,7.59,新进,2.44%,0.00%
兴银丰盈灵活配置混合,93,1.67,新进,0.49%,0.00%
上投摩根核心优选混合,2331,42.05,新进,2.11%,0.01%
申万菱信消费增长混合,542,9.78,新进,3.56%,0.00%
中融鑫起点混合A,23,0.42,新进,0.04%,0.00%
南方成份精选混合,9978,180.01,新进,2.03%,0.03%
南方绩优成长混合A,7760,140.0,新进,1.50%,0.02%
泰达宏利逆向策略混合,1248,22.51,新进,1.42%,0.00%
新华稳健回报混合发起式,554,10.0,新进,1.56%,0.00%
易方达新益混合I,360,6.5,新进,0.45%,0.00%
南方稳健成长混合,4387,79.14,新进,2.05%,0.01%
申万菱信量化小盘股票(LOF),1297,23.41,新进,0.64%,0.00%
德邦新添利债券A,277,5.0,新进,0.38%,0.00%
诺德周期策略混合,6,0.1,新进,0.06%,0.00%
银华量化智慧动力混合,29,0.53,新进,0.58%,0.00%
浦银安盛新经济结构混合,83,1.5,新进,1.17%,0.00%
易方达新享混合C,343,6.18,新进,0.81%,0.00%
德邦新添利债券C,277,5.0,新进,0.38%,0.00%
中海蓝筹混合,268,4.84,新进,2.77%,0.00%
大摩多因子策略混合,83,1.49,新进,0.03%,0.00%
泰达宏利市值优选混合,2813,50.75,新进,2.29%,0.01%
中欧数据挖掘混合A,59,1.07,新进,0.44%,0.00%
易方达科瑞灵活配置混合,998,18.0,新进,1.06%,0.00%
上投摩根行业轮动混合A,509,9.19,新进,0.43%,0.00%
申万菱信新动力混合,1308,23.61,新进,1.46%,0.00%
信达澳银转型创新股票,1109,20.0,新进,1.61%,0.00%
天治中国制造2025混合,111,2.0,新进,2.74%,0.00%
中欧价值发现混合E,1352,24.39,新进,0.22%,0.00%
天治核心成长混合(LOF),970,17.5,新进,1.63%,0.00%
融通动力先锋混合,1423,25.67,新进,1.55%,0.00%
中信建投睿信混合A,44,0.79,新进,0.82%,0.00%
诺德成长优势混合,0,0.0,新进,0.00%,0.00%
益民创新优势混合,174,3.14,新进,0.23%,0.00%
泰达宏利沪深300指数增强A,96,1.74,新进,0.94%,0.00%
泰达宏利红利先锋混合,470,8.48,新进,2.86%,0.00%
银华汇利灵活配置混合C,305,5.5,新进,0.24%,0.00%
民生加银品牌蓝筹混合,233,4.2,新进,1.42%,0.00%
东方红睿满沪港深混合,1,0.01,新进,0.00%,0.00%
信诚至瑞混合A,139,2.5,新进,0.65%,0.00%
信诚至瑞混合C,139,2.5,新进,0.65%,0.00%
